##############	##### OUTPUT FILE	: joey40.dat	###################


TIME (ns)  SUR	FACE TEMPERATURE(	"K), MELT DEPT"	H(A) & EVAPN. DEPTH(A)

0	300	0	0
0	0	0	0
0.2	300.0289917	0	0
0.4	300.058197	0	0
0.6	300.087616	0	0
0.8	300.1172485	0	0
1	300.1470947	0	0
1.2	300.1771545	0	0
1.4000001	300.2074585	0	0
1.6000001	300.2379761	0	0
1.8000002	300.2687073	0	0
2.0000002	300.2996521	0	0
2.2000003	300.3308411	0	0
2.4000003	300.3622437	0	0
2.6000004	300.3938904	0	0
2.8000004	300.4257507	0	0
3.0000005	300.4578552	0	0
3.2000005	300.4902039	0	0
3.4000006	300.5227661	0	0
3.6000006	300.5555725	0	0
3.8000007	300.588623	0	0
4.0000005	300.6218872	0	0
4.2000003	300.655426	0	0
4.4000001	300.6891785	0	0
4.5999999	300.723175	0	0
4.7999997	300.7574463	0	0
4.9999995	300.7919312	0	0
5.1999993	300.8266602	0	0
5.3999991	300.8616638	0	0
5.599999	300.8969116	0	0
5.7999988	300.9324036	0	0
5.9999986	300.9681396	0	0
6.1999984	301.0041504	0	0
6.3999982	301.0404053	0	0
6.599998	301.0769348	0	0
6.7999978	301.1137085	0	0
6.9999976	301.1507263	0	0
7.1999974	301.1880188	0	0
7.3999972	301.2255859	0	0
7.599997	301.2634277	0	0
7.7999969	301.3015137	0	0
7.9999967	301.3398743	0	0
8.1999969	301.3785095	0	0
8.3999968	301.4173889	0	0
8.5999966	301.4565735	0	0
8.7999964	301.4960327	0	0
8.9999962	301.5357666	0	0
9.199996	301.5757446	0	0
9.3999958	301.6160278	0	0
9.5999956	301.6566162	0	0
9.7999954	301.6974487	0	0
9.9999952	301.7385864	0	0
10.199995	301.7799988	0	0
10.3999949	301.8216858	0	0
10.5999947	301.863678	0	0
10.7999945	301.9059753	0	0
10.9999943	301.9485474	0	0
11.1999941	301.991394	0	0
11.3999939	302.0345764	0	0
11.5999937	302.0780334	0	0
11.7999935	302.1217651	0	0
11.9999933	302.1658325	0	0
12.1999931	302.2102051	0	0
12.3999929	302.2548523	0	0
12.5999928	302.2998047	0	0
12.7999926	302.3450928	0	0
12.9999924	302.3906555	0	0
13.1999922	302.436554	0	0
13.399992	302.4827576	0	0
13.5999918	302.5292664	0	0
13.7999916	302.5761108	0	0
13.9999914	302.6232605	0	0
14.1999912	302.6707153	0	0
14.399991	302.7185059	0	0
14.5999908	302.7666016	0	0
14.7999907	302.815033	0	0
14.9999905	302.8638	0	0
15.1999903	302.9128723	0	0
15.3999901	302.9622803	0	0
15.5999899	303.0120239	0	0
15.7999897	303.0621033	0	0
15.9999895	303.1125183	0	0
16.1999893	303.1632385	0	0
16.3999901	303.214325	0	0
16.5999908	303.2657471	0	0
16.7999916	303.3175049	0	0
16.9999924	303.3695984	0	0
17.1999931	303.4220581	0	0
17.3999939	303.4748535	0	0
17.5999947	303.5279846	0	0
17.7999954	303.5814819	0	0
17.9999962	303.6353149	0	0
18.1999969	303.6895142	0	0
18.3999977	303.7440491	0	0
18.5999985	303.7989502	0	0
18.7999992	303.8542175	0	0
19	303.9098511	0	0
19.2000008	303.9658508	0	0
19.4000015	304.0221863	0	0
19.6000023	304.0789185	0	0
19.8000031	304.1359863	0	0
20.0000038	304.1934509	0	0
20.2000046	304.2512817	0	0
20.4000053	304.3094788	0	0
20.6000061	304.3680725	0	0
20.8000069	304.4270325	0	0
21.0000076	304.4863586	0	0
21.2000084	304.546051	0	0
21.4000092	304.6061707	0	0
21.6000099	304.6666565	0	0
21.8000107	304.7275085	0	0
22.0000114	304.7887573	0	0
22.2000122	304.8504028	0	0
22.400013	304.9124451	0	0
22.6000137	304.974884	0	0
22.8000145	305.0377197	0	0
23.0000153	305.1009521	0	0
23.200016	305.1645813	0	0
23.4000168	305.2286072	0	0
23.6000175	305.2930298	0	0
23.8000183	305.3578796	0	0
24.0000191	305.4231262	0	0
24.2000198	305.4887695	0	0
24.4000206	305.5548401	0	0
24.6000214	305.6213379	0	0
24.8000221	305.6882324	0	0
25.0000229	305.7555542	0	0
25.2000237	305.8232727	0	0
25.4000244	305.891449	0	0
25.6000252	305.960022	0	0
25.8000259	306.0290222	0	0
26.0000267	306.0984497	0	0
26.2000275	306.1683044	0	0
26.4000282	306.2386169	0	0
26.600029	306.3093262	0	0
26.8000298	306.3804932	0	0
27.0000305	306.4521179	0	0
27.2000313	306.5241394	0	0
27.400032	306.5966187	0	0
27.6000328	306.6695557	0	0
27.8000336	306.7429199	0	0
28.0000343	306.8167419	0	0
28.2000351	306.8910217	0	0
28.4000359	306.9657288	0	0
28.6000366	307.0408936	0	0
28.8000374	307.1165466	0	0
29.0000381	307.192627	0	0
29.2000389	307.269165	0	0
29.4000397	307.3461914	0	0
29.6000404	307.423645	0	0
29.8000412	307.5015869	0	0
30.000042	307.5799866	0	0
30.2000427	307.6588745	0	0
30.4000435	307.7382202	0	0
30.6000443	307.8180542	0	0
30.800045	307.8983459	0	0
31.0000458	307.9791565	0	0
31.2000465	308.0603943	0	0
31.4000473	308.1421509	0	0
31.6000481	308.2243958	0	0
31.8000488	308.3070984	0	0
32.0000496	308.3903198	0	0
32.2000504	308.473999	0	0
32.4000511	308.558197	0	0
32.6000519	308.6428833	0	0
32.8000526	308.7280579	0	0
33.0000534	308.8137512	0	0
33.2000542	308.8999329	0	0
33.4000549	308.9866333	0	0
33.6000557	309.073822	0	0
33.8000565	309.1615295	0	0
34.0000572	309.2497559	0	0
34.200058	309.338501	0	0
34.4000587	309.4277344	0	0
34.6000595	309.5174866	0	0
34.8000603	309.6077881	0	0
35.000061	309.6985779	0	0
35.2000618	309.789917	0	0
35.4000626	309.8817749	0	0
35.6000633	309.9741516	0	0
35.8000641	310.0670776	0	0
36.0000648	310.1605225	0	0
36.2000656	310.2544861	0	0
36.4000664	310.348999	0	0
36.6000671	310.4440613	0	0
36.8000679	310.5396729	0	0
37.0000687	310.6358032	0	0
37.2000694	310.7324829	0	0
37.4000702	310.8297119	0	0
37.600071	310.9275208	0	0
37.8000717	311.0258484	0	0
38.0000725	311.1247253	0	0
